;Unnamed: 0;Unnamed: 0.1;Annee (0);jour (0);mois (0);dist cote (nq);zone;lat (0);long(0);type(0);pavillon;statut de l'attaque(0);type d'attaque(0);Nombre P  Min;Nombre P  max;nombre embarcation;Vol a bord; Kidnapping;blessees; meurtre;Knives ;RPG;descriptif;latitude;longitude;quinzaine_week;newDescriptif;Guns;mousson;distance au port;distance_shorline;lat_area;lon_area
0;0;0;2010;1;1;;BCD;10:47N;061:37E;Vehicle Carrier;United Kingdom;Steaming;Hijacked;-1;-1;;0;1;0;0;0;0;Pirates hijacked a ship underway and took her 25 crewmembers hostage. Pirates then sailed the ship to an undisclosed location in Somalia. It is believed a ransom was paid for the safe release of the crew and vessel;10.7833333333;61.6166666667;1.0;pirates hijacked a ship underway and took her 25 crewmembers hostage. pirates then sailed the ship to an undisclosed location in somalia. it is believed a ransom was paid for the safe release of the crew and vessel;0;0;1067.51294905;796.381131259;22;33
1;1;1;2010;3;3;;BCD;05:14S;042:37E;Fishing Vessel;Kenya;Steaming;Hijacked;11;11;;1;1;1;0;0;1;Eleven pirates in three skiffs armed with guns and RPG boarded the drifting fishing vessel. They took hostage 16 crewmembers and threatened to injure or kill them if their instructions were not followed. The main intention of the pirates was to use the fishing vessel to hijack another vessel. The pirates stole crew cash and personal belongings and sailed the vessel with the skiffs in tow. On 05.03.2010, 12 crewmembers were transferred onto a hijacked chemical tanker while the remaining four crew were still held onboard. The crew and the vessel were released on 19.07.2010 after a ransom was paid. Vessel arrived at Mombasa on 24.07.2010. All crewmembers are safe.;-5.23333333333;42.6166666667;5.0;eleven pirates in three skiffs armed with guns and rpg boarded the drifting fishing vessel. they took hostage 16 crewmembers and threatened to injure or kill them if their instructions were not followed. the main intention of the pirates was to use the fishing vessel to hijack another vessel. the pirates stole crew cash and personal belongings and sailed the vessel with the skiffs in tow. on 05.03.2010, 12 crewmembers were transferred onto a hijacked chemical tanker while the remaining four crew were still held onboard. the crew and the vessel were released on 19.07.2010 after a ransom was paid. vessel arrived at mombasa on 24.07.2010. all crewmembers are safe.;1;0;353.541683636;305.174046311;5;12
2;2;2;2010;5;3;;BCD;09:35S;044:18E;Chemical Tanker;Marshall Islands;Steaming;Hijacked;-1;-1;;0;1;0;0;0;0;Armed pirates attacked and hijacked a tanker underway. They took hostage her 21 crewmembers and sailed the ship to an undisclosed place in Somalia. It is believed a ransom was paid for release of crew and vessel.;-9.58333333333;44.3;5.0;armed pirates attacked and hijacked a tanker underway. they took hostage her 21 crewmembers and sailed the ship to an undisclosed place in somalia. it is believed a ransom was paid for release of crew and vessel.;0;0;455.92679358;221.69658852;0;14
3;3;3;2010;23;3;;BCD;11:41.53N;066:05.38E;Bulk Carrier;Malta;Steaming;Hijacked;-1;-1;;0;1;0;0;0;0;Armed pirates attacked, boarded and hijacked the ship and took her 21 crew hostage.It is believed a ransom was paid for the safe release of the crew and vessel.;11.6980555556;66.0938888889;6.0;armed pirates attacked, boarded and hijacked the ship and took her 21 crew hostage.it is believed a ransom was paid for the safe release of the crew and vessel.;0;0;929.851018928;925.841311437;23;37
4;4;4;2010;23;3;;BCD;17:28N;056:42E;Refrigerated Cargo;Bermuda;Steaming;Hijacked;-1;-1;;0;1;0;0;0;0;Pirates attacked and hijacked the ship underway and took hostage the 21 crew members.  The vessel was released on 10.5.2010. It is believed a ransom was paid for the safe release of the crew and vessel.;17.4666666667;56.7;6.0;pirates attacked and hijacked the ship underway and took hostage the 21 crew members.  the vessel was released on 10.5.2010. it is believed a ransom was paid for the safe release of the crew and vessel.;0;0;291.087286056;62.2618575229;29;28
5;5;5;2010;30;3;;BCD;10:34N;057:33E;Fishing Vessel;Taiwan;Steaming;Hijacked;-1;-1;;0;1;0;0;0;0;Pirates boarded and hijacked the fishing vessel and took hostage the 14 crew members. Pirates sailed and anchored the vessel off the Somali coast.;10.5666666667;57.55;6.0;pirates boarded and hijacked the fishing vessel and took hostage the 14 crew members. pirates sailed and anchored the vessel off the somali coast.;0;0;802.874380068;395.010617544;22;29
6;6;6;2010;4;4;;BCD;08:21N;065:00E;VLCC;Marshall Islands;Steaming;Hijacked;-1;-1;;0;1;0;0;0;0;Pirates in skiffs attacked, boarded and hijacked the tanker underway. Pirates have taken hostage 24 crewmembers. The tanker was released on 06.11.2010.  It is believed a ransom was paid for the safe release of the crew and tanker.;8.35;65.0;7.0;pirates in skiffs attacked, boarded and hijacked the tanker underway. pirates have taken hostage 24 crewmembers. the tanker was released on 06.11.2010.  it is believed a ransom was paid for the safe release of the crew and tanker.;0;0;1047.19958235;1184.20199277;19;36
7;7;7;2010;5;4;;BCD;12:23N;060:21E;Container;Germany;Steaming;Boarded;-1;-1;;0;0;0;0;0;0;Pirates in two skiffs boarded a container ship underway. The crew locked themselves in a safe room and contacted authorities for help. A warship arrived at location and boarding team boarded and rescued all crew. Pirates were detained.;12.3833333333;60.35;7.0;pirates in two skiffs boarded a container ship underway. the crew locked themselves in a safe room and contacted authorities for help. a warship arrived at location and boarding team boarded and rescued all crew. pirates were detained.;0;0;848.750570762;632.512335464;24;32
8;8;8;2010;7;4;;BCD;04:59S;043:52E;Bulk Carrier;Turkey;Steaming;Boarded;-1;-1;;0;0;0;0;0;1;Pirates in skiffs chased, fired upon and boarded the ship underway. The firing of automatic weapons and RPG resulted in a fire breaking out on the bridge.  The 25 crew members locked themselves in the engine room for more than 24 hrs.  The pirates failed to hijack the ship as they were unable to enter into the engine room. Finally they abandoned the ship. The crew members regained control of their ship and safely arrived at Mombasa port on 10.04.2010. No injury to crew.;-4.98333333333;43.8666666667;7.0;pirates in skiffs chased, fired upon and boarded the ship underway. the firing of automatic weapons and rpg resulted in a fire breaking out on the bridge.  the 25 crew members locked themselves in the engine room for more than 24 hrs.  the pirates failed to hijack the ship as they were unable to enter into the engine room. finally they abandoned the ship. the crew members regained control of their ship and safely arrived at mombasa port on 10.04.2010. no injury to crew.;1;0;478.79136264;437.675337381;5;14
9;9;9;2010;11;4;;BCD;04:45S;051:00E;General Cargo;St. Vincent & Grenadines;Steaming;Hijacked;-1;-1;;0;0;0;0;0;0;Armed pirates attacked and hijacked the ship underway.;-4.75;51.0;7.0;armed pirates attacked and hijacked the ship underway.;0;0;495.739067703;467.70915486;5;22
