2_week;Years;count;full_years
1.0;2008;0.0;2008.04166667
2.0;2008;0.0;2008.08333333
3.0;2008;5.0;2008.125
4.0;2008;0.0;2008.16666667
5.0;2008;3.0;2008.20833333
6.0;2008;5.0;2008.25
7.0;2008;4.0;2008.29166667
8.0;2008;6.0;2008.33333333
9.0;2008;1.0;2008.375
10.0;2008;7.0;2008.41666667
11.0;2008;1.0;2008.45833333
12.0;2008;1.0;2008.5
13.0;2008;1.0;2008.54166667
14.0;2008;4.0;2008.58333333
15.0;2008;2.0;2008.625
16.0;2008;11.0;2008.66666667
17.0;2008;16.0;2008.70833333
18.0;2008;12.0;2008.75
19.0;2008;10.0;2008.79166667
20.0;2008;8.0;2008.83333333
21.0;2008;11.0;2008.875
22.0;2008;9.0;2008.91666667
23.0;2008;5.0;2008.95833333
24.0;2008;6.0;2009.0
1.0;2009;18.0;2009.04166667
2.0;2009;3.0;2009.08333333
3.0;2009;5.0;2009.125
4.0;2009;6.0;2009.16666667
5.0;2009;10.0;2009.20833333
6.0;2009;20.0;2009.25
7.0;2009;20.0;2009.29166667
8.0;2009;18.0;2009.33333333
9.0;2009;19.0;2009.375
10.0;2009;13.0;2009.41666667
11.0;2009;10.0;2009.45833333
12.0;2009;5.0;2009.5
13.0;2009;3.0;2009.54166667
14.0;2009;0.0;2009.58333333
15.0;2009;3.0;2009.625
16.0;2009;2.0;2009.66666667
17.0;2009;1.0;2009.70833333
18.0;2009;10.0;2009.75
19.0;2009;6.0;2009.79166667
20.0;2009;9.0;2009.83333333
21.0;2009;13.0;2009.875
22.0;2009;9.0;2009.91666667
23.0;2009;5.0;2009.95833333
24.0;2009;6.0;2010.0
1.0;2010;2.0;2010.04166667
2.0;2010;2.0;2010.08333333
3.0;2010;2.0;2010.125
4.0;2010;2.0;2010.16666667
5.0;2010;10.0;2010.20833333
6.0;2010;19.0;2010.25
7.0;2010;15.0;2010.29166667
8.0;2010;12.0;2010.33333333
9.0;2010;11.0;2010.375
10.0;2010;6.0;2010.41666667
11.0;2010;7.0;2010.45833333
12.0;2010;8.0;2010.5
13.0;2010;4.0;2010.54166667
14.0;2010;1.0;2010.58333333
15.0;2010;10.0;2010.625
16.0;2010;4.0;2010.66666667
17.0;2010;3.0;2010.70833333
18.0;2010;6.0;2010.75
19.0;2010;7.0;2010.79166667
20.0;2010;16.0;2010.83333333
21.0;2010;15.0;2010.875
22.0;2010;27.0;2010.91666667
23.0;2010;10.0;2010.95833333
24.0;2010;9.0;2011.0
1.0;2011;22.0;2011.04166667
2.0;2011;21.0;2011.08333333
3.0;2011;12.0;2011.125
4.0;2011;11.0;2011.16666667
5.0;2011;20.0;2011.20833333
6.0;2011;15.0;2011.25
7.0;2011;10.0;2011.29166667
8.0;2011;11.0;2011.33333333
