Annee (0);jour (0);mois (0);dist cote (nq);zone;lat (0);long(0);type(0);pavillon;statut de l'attaque(0);type d'attaque(0);Nombre P  Min;Nombre P  max;nombre embarcation;Vol a bord; Kidnapping;blessees; meurtre;Knives ;RPG;descriptif;latitude;longitude;quinzaine_week;newDescriptif;Guns;mousson;distance au port;distance_shorline;lat_area;lon_area;large_area;distance a la base de pirate
2010;28;10;;BCD;12:08N;054:25E;Dhow;Not Stated;Steaming;Hijacked;-1;-1;;0;0;0;0;0;0;Pirates hijacked a Dhow.;12.1333333333;54.4166666667;20.0;pirates hijacked a dhow.;0;0;534.679104049;35.872306328;3.0;25.0;G;346.662209651
2010;30;10;;BCD;15:06N;055:58E;Bulk Carrier;Malta;Steaming;Boarded;-1;-1;;0;0;0;0;0;0;Armed pirates attacked and boarded the ship underway. The crew went into the citadel and contacted the authorities for assistance. The pirates could not sail the ship as the crew were able to control the ship from the safe room. Later, the pirates abandoned the ship. The authorities boarded the ship and made a thorough search. Finally, the crew took command of the ship and sailed towards a safe port.;15.1;55.9666666667;20.0;armed pirates attacked and boarded the ship underway. the crew went into the citadel and contacted the authorities for assistance. the pirates could not sail the ship as the crew were able to control the ship from the safe room. later, the pirates abandoned the ship. the authorities boarded the ship and made a thorough search. finally, the crew took command of the ship and sailed towards a safe port.;0;0;292.330113117;233.517910649;8.0;28.0;G;626.662667921
2010;1;1;;BCD;12:31N;047:18E;Chemical Tanker;Singapore;Steaming;Hijacked;-1;-1;;0;1;0;0;0;0;Pirates hijacked a tanker underway and took her 24 crewmembers hostage. They sailed the tanker to an undisclosed location in Somalia. The tanker was released on 26.02.2010.  It is believed a ransom was paid for the safe release of the crew and tanker.;12.5166666667;47.3;1.0;pirates hijacked a tanker underway and took her 24 crewmembers hostage. they sailed the tanker to an undisclosed location in somalia. the tanker was released on 26.02.2010.  it is believed a ransom was paid for the safe release of the crew and tanker.;0;0;259.21774124;118.411435887;3.0;13.0;G;244.88198923
2010;3;2;;BCD;13:04N;047:04E;General Cargo;North Korea;Steaming;Hijacked;-1;-1;;0;1;1;0;0;0;Armed pirates attacked and hijacked a ship and took her 10 crew members hostage. On 02.06.2010 crew managed to free the vessel from the pirates.  During the struggle to free the vessel, one crew was injured.  Vessel sailed away from the area and was intercepted by a warship.  The 10 crew members of the MV Rim were then embarked onboard the warship as the vessel could not continue to sail due to severe engine problems.  The warship arrived at Djibouti.  The crews were landed ashore once a diplomatic clearance was granted.  The MV Rim was unmanned and drifting since 6.6.2010.  A warning to ships was broadcast.;13.0666666667;47.0666666667;3.0;armed pirates attacked and hijacked a ship and took her 10 crew members hostage. on 02.06.2010 crew managed to free the vessel from the pirates.  during the struggle to free the vessel, one crew was injured.  vessel sailed away from the area and was intercepted by a warship.  the 10 crew members of the mv rim were then embarked onboard the warship as the vessel could not continue to sail due to severe engine problems.  the warship arrived at djibouti.  the crews were landed ashore once a diplomatic clearance was granted.  the mv rim was unmanned and drifting since 6.6.2010.  a warning to ships was broadcast.;0;0;233.133565564;52.6695311525;4.0;12.0;G;301.906779138
2010;5;2;;BCD;13:00N;048:45E;Bulk Carrier;Antigua & Barbuda;Steaming;Boarded;6;6;;0;0;0;0;0;0;Six pirates in a high-speed boat armed with machine guns fired upon a ship underway. Ship raised alarm, sent mayday messages, contacted warship and took evasive manoeuvres. The pirates managed to board the ship using aluminium ladder while firing at the bridge. Master informed navy that all crew mustered in citadel and locked down. A warship and helicopter arrived to assist and military forces boarded the ship. The pirates had aborted and left the ship before the navy boarded the ship. All crewmembers are safe.;13.0;48.75;3.0;six pirates in a high-speed boat armed with machine guns fired upon a ship underway. ship raised alarm, sent mayday messages, contacted warship and took evasive manoeuvres. the pirates managed to board the ship using aluminium ladder while firing at the bridge. master informed navy that all crew mustered in citadel and locked down. a warship and helicopter arrived to assist and military forces boarded the ship. the pirates had aborted and left the ship before the navy boarded the ship. all crewmembers are safe.;1;0;414.693842248;114.63633513;4.0;15.0;G;195.243576625
2010;29;3;;BCD;13:15N;046:40E;Ro-Ro;Panama;Steaming;Hijacked;-1;-1;;0;1;0;0;0;0;Armed pirates boarded and hijacked a ship underway. They took hostage 24 crewmembers and sailed the ship towards Somali coast.;13.25;46.6666666667;6.0;armed pirates boarded and hijacked a ship underway. they took hostage 24 crewmembers and sailed the ship towards somali coast.;0;0;194.029884035;19.5125445133;5.0;11.0;G;348.282462126
2010;8;5;;BCD;14:58N;054:47E;Chemical Tanker;Marshall Islands;Steaming;Hijacked;-1;-1;;0;1;0;0;0;0;Armed pirates chased, attacked and hijacked the tanker underway. They took hostage 22 crewmembers and sailed the tanker towards Somali coast. The vessel was released on 28.12.2010.  It is believed a ransom was paid for their safe release of the crew and tanker.;14.9666666667;54.7833333333;9.0;armed pirates chased, attacked and hijacked the tanker underway. they took hostage 22 crewmembers and sailed the tanker towards somali coast. the vessel was released on 28.12.2010.  it is believed a ransom was paid for their safe release of the crew and tanker.;0;0;234.315760111;218.216522424;7.0;26.0;G;517.558157928
2010;11;5;;BCD;12:31N;047:08E;Chemical Tanker;Bulgaria;Steaming;Hijacked;-1;-1;;0;0;0;0;0;0;Pirates boarded and hijacked the tanker along with her 15 crew. Pirates sailed the tanker towards Somali coast. The tanker was released on 09.09.2010. It is believed a ransom was paid for the safe release of the crew and tanker.;12.5166666667;47.1333333333;9.0;pirates boarded and hijacked the tanker along with her 15 crew. pirates sailed the tanker towards somali coast. the tanker was released on 09.09.2010. it is believed a ransom was paid for the safe release of the crew and tanker.;0;0;241.273453864;111.246265944;3.0;12.0;G;260.15632188
2010;2;6;;BCD;13:45N;050:18E;General Cargo;Panama;Steaming;Hijacked;6;6;;0;1;0;1;0;1;Six pirates armed with guns and RPG hijacked the ship and took her 24 crew members hostage and sailed the ship towards Somali coast. On 03.06.2010, Somali soldiers intercepted the ship and rescued the crew and ship after a fierce gun battle between the soldiers and pirates. The Captain of the MV QSM Dubai was killed during the shootout.  The pirates were detained. The Somali soldiers remained onboard to escort the ship to Somalia where the Captain's body was landed.;13.75;50.3;11.0;six pirates armed with guns and rpg hijacked the ship and took her 24 crew members hostage and sailed the ship towards somali coast. on 03.06.2010, somali soldiers intercepted the ship and rescued the crew and ship after a fierce gun battle between the soldiers and pirates. the captain of the mv qsm dubai was killed during the shootout.  the pirates were detained. the somali soldiers remained onboard to escort the ship to somalia where the captain's body was landed.;1;1;533.462068756;121.795107343;5.0;18.0;G;237.45357728
2010;28;6;;BCD;13:24N;049:58E;Chemical Tanker;Singapore;Steaming;Hijacked;-1;-1;;0;0;0;0;0;0;Pirates attacked and hijacked the tanker underway.  They sailed the tanker towards Somali coast where it is anchored.  Negotiations in progress. The tanker was released on 05.11.2010.  It is believed a ransom was paid for the safe release of the crew and tanker.;13.4;49.9666666667;12.0;pirates attacked and hijacked the tanker underway.  they sailed the tanker towards somali coast where it is anchored.  negotiations in progress. the tanker was released on 05.11.2010.  it is believed a ransom was paid for the safe release of the crew and tanker.;0;1;549.592472894;146.691278656;5.0;17.0;G;223.879972892
2010;4;7;;BCD;13:16N;042:56E;Chemical Tanker;Marshall Islands;Steaming;Hijacked;-1;-1;;0;0;0;0;0;0;Armed pirates attacked and hijacked the tanker along with her 18 crew.;13.2666666667;42.9333333333;13.0;armed pirates attacked and hijacked the tanker along with her 18 crew.;0;1;173.335700618;31.9923598415;5.0;5.0;G;712.690112032
2010;2;8;;BCD;13:02N;048:54E;General Cargo;Panama;Steaming;Hijacked;-1;-1;;0;1;0;0;0;0;Pirates in three skiffs armed with automatic weapons chased and opened fire on the ship. The pirates boarded and hijacked the ship and took 24 crewmembers as hostage.;13.0333333333;48.9;15.0;pirates in three skiffs armed with automatic weapons chased and opened fire on the ship. the pirates boarded and hijacked the ship and took 24 crewmembers as hostage.;1;1;431.113991575;114.35169995;4.0;16.0;G;195.754714005
2010;5;8;;BCD;13:11N;049:04E;General Cargo;St. Vincent & Grenadines;Steaming;Hijacked;-1;-1;;0;1;1;0;0;0;A general cargo ship was reported hijacked while transiting the Gulf of Aden. 24 crew members were taken hostage and pirates sailed the vessel towards Somalia.  Owners reported two crew members received injuries from stray bullets while resisting the pirates when pirates were boarding the vessel.  The pirates abandoned the vessel the next day due to unknown reasons.  A medical team from a warship provided medical assistance to the injured crew members.  The vessel safely arrived at Port Sudan.;13.1833333333;49.0666666667;15.0;a general cargo ship was reported hijacked while transiting the gulf of aden. 24 crew members were taken hostage and pirates sailed the vessel towards somalia.  owners reported two crew members received injuries from stray bullets while resisting the pirates when pirates were boarding the vessel.  the pirates abandoned the vessel the next day due to unknown reasons.  a medical team from a warship provided medical assistance to the injured crew members.  the vessel safely arrived at port sudan.;0;1;450.228956146;104.061369616;5.0;16.0;G;210.467478733
2010;8;9;;BCD;13:23N;049:58E;Container;Antigua & Barbuda;Steaming;Boarded;9;9;;0;0;0;0;0;0;Armed pirates in a skiff boarded the ship underway. The ship's crew locked themselves in a safe room and requested for assistance. On 09.09.2010 all ship's crew were rescued and nine pirates were apprehended.;13.3833333333;49.9666666667;17.0;armed pirates in a skiff boarded the ship underway. the ship's crew locked themselves in a safe room and requested for assistance. on 09.09.2010 all ship's crew were rescued and nine pirates were apprehended.;0;1;549.397414159;147.969139372;5.0;17.0;G;222.443195098
2010;2;11;;BCD;13:31.42N;048:19.16E;Fishing Vessel;Thailand;Steaming;Hijacked;-1;-1;;0;0;0;1;0;0;The fishing vessel was reported hijacked by pirates. On 03.11.2010 the 23 crew members and 1 Yemeni guard were rescued by Thai Warship.  Remaining 5 (1 Thai (Master), 1 Thai cook, 1 Yemeni security guard and 2 Yemeni fishing department personnel) were confirmed dead. The rescued 23 crew members safely arrived at Thailand.     AFRICA (EXCLUDING SOMALIA / GULF OF ADEN / RED SEA)  Ref Date Time Status Type Name of Ship Type/Flag/Grt/ IMO Number Position Narration;13.5283333333;48.3211111111;21.0;the fishing vessel was reported hijacked by pirates. on 03.11.2010 the 23 crew members and 1 yemeni guard were rescued by thai warship.  remaining 5 (1 thai (master), 1 thai cook, 1 yemeni security guard and 2 yemeni fishing department personnel) were confirmed dead. the rescued 23 crew members safely arrived at thailand.     africa (excluding somalia / gulf of aden / red sea)  ref date time status type name of ship type/flag/grt/ imo number position narration;0;0;375.605803197;50.303975787;5.0;14.0;G;264.825106192
2010;5;4;;BCD;13:38.7N;055:38.2E;Container;Panama;Steaming;Fired upon;-1;-1;;0;0;0;0;0;1;Pirates in skiffs chased and fired upon a container ship underway, using RPG and machine guns. Ship increased speed and made evasive manoeuvres.;13.6352777778;55.6338888889;7.0;pirates in skiffs chased and fired upon a container ship underway, using rpg and machine guns. ship increased speed and made evasive manoeuvres.;1;0;405.816345551;169.196630833;5.0;28.0;G;516.839190488
2010;16;1;;BCD;12:58N;048:42E;Tanker;India;Steaming;Fired upon;5;5;;0;0;0;0;0;1;Five pirates in a high-speed skiff approached a tanker underway. The skiff proceeded towards the ship from the direction of the sun making it difficult to detect. The ship spotted the skiff at a distance of about one to two nautical miles. Master raised alarm, blew ship's horn and carried out evasive manoeuvres. Pirates opened fire with RPG and automatic weapons.  Master informed coalition warship and a helicopter was dispatched. Seeing the helicopter the pirates aborted the attempt.  No damage to the ship and no casualties.;12.9666666667;48.7;2.0;five pirates in a high-speed skiff approached a tanker underway. the skiff proceeded towards the ship from the direction of the sun making it difficult to detect. the ship spotted the skiff at a distance of about one to two nautical miles. master raised alarm, blew ship's horn and carried out evasive manoeuvres. pirates opened fire with rpg and automatic weapons.  master informed coalition warship and a helicopter was dispatched. seeing the helicopter the pirates aborted the attempt.  no damage to the ship and no casualties.;1;0;409.135297813;117.017976962;4.0;15.0;G;193.019656347
2010;17;1;;BCD;12:39.3N;047:33.9E;Bulk Carrier;Jamaica;Steaming;Fired upon;4;4;;0;0;1;0;0;0;Four pirates armed with automatic guns in a white coloured skiff approached a ship underway. At a distance of around 10 meters the pirates opened fire on the ship. Master raised alarm. Rocket parachute flares were fired and hand flares were thrown into the water to mark the position of the incident. One rocket parachute flare hit a skiff and injured a pirate. The skiff pulled away and aborted the attempted attack. A warship and a helicopter came to the assistance of the ship.;12.6508333333;47.5525;2.0;four pirates armed with automatic guns in a white coloured skiff approached a ship underway. at a distance of around 10 meters the pirates opened fire on the ship. master raised alarm. rocket parachute flares were fired and hand flares were thrown into the water to mark the position of the incident. one rocket parachute flare hit a skiff and injured a pirate. the skiff pulled away and aborted the attempted attack. a warship and a helicopter came to the assistance of the ship.;1;0;285.029208518;111.539165791;4.0;13.0;G;231.929213817
2010;28;2;;BCD;12:32.5N;043:26.0E;Product Tanker;Vietnam;Steaming;Attempted;-1;-1;;0;0;0;0;0;0;D/O onboard a tanker noticed on radar two crafts sailing parallel to the ship. The crafts started approaching the tanker. Alarm raised and crew mustered on bridge. Anti piracy measures including use of floodlights to track the crafts and recorded sounds of dogs barking activated.  Master took evasive manoeuvres, increased speed and transmitted mayday messages. A naval vessel announced that they are proceeding to the location.  At 0415 LT, the crafts aborted the attack.;12.5347222222;43.4333333333;4.0;d/o onboard a tanker noticed on radar two crafts sailing parallel to the ship. the crafts started approaching the tanker. alarm raised and crew mustered on bridge. anti piracy measures including use of floodlights to track the crafts and recorded sounds of dogs barking activated.  master took evasive manoeuvres, increased speed and transmitted mayday messages. a naval vessel announced that they are proceeding to the location.  at 0415 lt, the crafts aborted the attack.;0;0;108.997928836;13.4870542326;3.0;6.0;G;639.716020649
2010;2;3;;BCD;12:38.4N;044:47.4E;Chemical Tanker;Marshall Islands;Steaming;Attempted;4;4;;0;0;0;0;0;0;Four pirates in a skiff chased and attempted to board a tanker underway. Master carried out evasive manoeuvres and fire hoses were activated. After about an hour of chasing the pirates aborted the attempt.;12.6344444444;44.7844444444;5.0;four pirates in a skiff chased and attempted to board a tanker underway. master carried out evasive manoeuvres and fire hoses were activated. after about an hour of chasing the pirates aborted the attempt.;0;0;25.8426378247;11.6894040485;4.0;8.0;G;500.14511585
