Barge;Cargo;Carrier;Other;Ro-Ro;Tanker;Tug;Vessel;date
0;0;0;0;0;0;0;0;2008-01-01
0;0;0;0;0;1;1;0;2008-02-01
0;1;0;0;0;1;0;1;2008-03-01
0;1;1;0;0;2;0;2;2008-04-01
0;2;2;1;0;1;0;0;2008-05-01
0;1;0;1;0;0;0;0;2008-06-01
0;0;2;1;0;1;0;0;2008-07-01
0;3;3;0;0;3;0;0;2008-08-01
0;3;6;3;0;7;0;0;2008-09-01
0;2;5;2;0;7;0;0;2008-10-01
0;1;5;1;0;8;0;1;2008-11-01
1;3;3;0;0;2;1;0;2008-12-01
0;4;5;2;1;7;0;0;2009-01-01
0;1;5;0;0;3;0;0;2009-02-01
0;0;6;2;0;5;0;0;2009-03-01
0;6;7;1;0;2;1;0;2009-04-01
0;2;8;0;1;11;0;0;2009-05-01
0;1;3;0;0;9;0;0;2009-06-01
0;0;1;0;0;1;0;0;2009-07-01
0;2;2;0;0;0;0;0;2009-08-01
0;1;5;1;0;2;0;0;2009-09-01
0;2;2;0;0;1;0;0;2009-10-01
0;3;4;0;0;0;0;0;2009-11-01
0;1;0;0;0;2;0;0;2009-12-01
0;0;1;0;0;2;0;0;2010-01-01
0;1;1;0;0;1;0;0;2010-02-01
0;0;1;0;1;6;0;0;2010-03-01
0;1;2;1;0;3;0;0;2010-04-01
0;1;1;2;0;3;0;0;2010-05-01
0;3;2;2;0;7;0;0;2010-06-01
0;0;2;1;0;2;0;0;2010-07-01
0;7;2;1;0;2;0;0;2010-08-01
0;0;0;2;0;1;0;0;2010-09-01
0;1;1;2;0;2;0;0;2010-10-01
0;0;0;1;0;1;0;1;2010-11-01
0;0;1;0;0;1;0;0;2010-12-01
0;0;3;1;0;3;0;0;2011-01-01
0;0;2;0;0;2;0;1;2011-02-01
0;1;1;0;0;2;0;0;2011-03-01
0;0;2;2;0;4;0;1;2011-04-01
0;0;4;3;0;5;0;0;2011-05-01
0;1;3;0;0;4;0;0;2011-06-01
0;2;1;2;0;8;0;0;2011-07-01
0;1;5;1;0;5;0;0;2011-08-01
0;1;2;2;0;3;0;0;2011-09-01
0;1;1;0;0;1;0;0;2011-10-01
0;0;2;0;0;1;0;0;2011-11-01
0;0;0;0;0;1;0;0;2011-12-01
0;0;3;0;0;1;0;1;2012-01-01
0;1;1;1;0;4;0;0;2012-02-01
0;0;0;1;0;3;0;0;2012-03-01
0;0;0;0;0;3;0;1;2012-04-01
0;0;1;0;0;1;0;0;2012-05-01
0;0;2;0;0;2;0;0;2012-06-01
0;0;1;0;0;0;0;0;2012-07-01
0;0;0;0;0;0;0;0;2012-08-01
0;0;0;0;0;0;0;0;2012-09-01
0;0;0;0;0;0;0;0;2012-10-01
0;0;0;0;0;0;0;0;2012-11-01
0;1;0;0;0;0;0;0;2012-12-01
0;0;0;0;0;0;0;0;2013-01-01
0;0;0;0;0;0;0;0;2013-02-01
0;0;0;0;0;2;0;1;2013-03-01
0;0;0;0;0;0;0;0;2013-04-01
0;1;0;0;0;0;0;0;2013-05-01
0;0;0;1;0;0;0;0;2013-06-01
0;0;1;0;0;1;0;0;2013-07-01
0;0;0;0;0;0;0;0;2013-08-01
0;0;0;0;0;0;0;0;2013-09-01
0;0;0;0;0;0;0;0;2013-10-01
0;0;0;0;0;0;0;0;2013-11-01
0;0;1;0;0;1;0;0;2013-12-01
0;0;0;0;0;1;0;0;2014-01-01
0;1;0;0;0;0;0;0;2014-02-01
0;0;0;0;1;1;0;0;2014-03-01
0;0;1;0;0;3;0;0;2014-04-01
0;0;0;0;0;0;0;0;2014-05-01
0;0;0;0;0;0;0;0;2014-06-01
0;0;0;0;0;0;0;0;2014-07-01
0;0;1;0;0;0;0;0;2014-08-01
0;0;0;0;0;0;0;0;2014-09-01
0;0;0;0;0;0;0;0;2014-10-01
0;0;0;0;0;0;0;0;2014-11-01
0;0;0;0;0;1;0;0;2014-12-01
