Annee (0);jour (0);mois (0);dist ÌÊ la cÌ«te (nq);zone;lat (0);long(0);type(0);pavillon;statut de l'attaque(0);type d'attaque(0);Nombre P  Min;Nombre P  max;nombre embarcation;Vol ÌÊ bord; Kidnapping;blessÌ©es; meurtre;Knives ;RPG;descriptif;latitude;longitude;quinzaine_week;new_type;newDescriptif;Guns;mousson;distance au port
2010.0;4.0;1.0;;BCD;06:05.86S;106:54.15E;Container;Singapore;Berthed;Boarded;3;3;;1;0;0;0;0;0;three robbers boarded the ship berthed via poop deck and steering gear room. they tied up the a/b and assaulted him. robbers stole ship's properties and escaped.;-6.10722222222;106.904166667;1.0;Other;three robbers boarded the ship berthed via poop deck and steering gear room. they tied up the a/b and assaulted him. robbers stole ship's properties and escaped.;0;0;0.922289146372
2010.0;13.0;1.0;;BCD;03:13S;116:23E;Bulk Carrier;India;Anchored;Boarded;-1;-1;;1;0;0;0;0;0;robbers boarded the ship at anchorage unnoticed.  they broke into forepeak store and stole ship stores.;-3.21666666667;116.383333333;1.0;Vehicle Carrier;robbers boarded the ship at anchorage unnoticed.  they broke into forepeak store and stole ship stores.;0;0;11.1145276082
2010.0;15.0;1.0;;BCD;05:31.6S;105:18.0E;General Cargo;Panama;Anchored;Boarded;-1;-1;;1;0;0;0;1;0;robbers armed with long knives boarded the ship and entered the engine room. watch keepers noticed the robbers but did not take any action as they were afraid. robbers broke open spare parts boxes and stole engine spares and escaped.;-5.51833333333;105.3;2.0;Vehicle Carrier;robbers armed with long knives boarded the ship and entered the engine room. watch keepers noticed the robbers but did not take any action as they were afraid. robbers broke open spare parts boxes and stole engine spares and escaped.;0;0;62.9974821142
2010.0;18.0;1.0;;BCD;01:42S;116:39E;Bulk Carrier;Liberia;Anchored;Boarded;-1;-1;;1;0;0;0;0;0;robbers boarded the ship at anchor. duty crew noticed them and raised alarm. robbers jumped overboard and escaped with ship's stores. attempts to call police via the agent were not successful.;-1.7;116.65;2.0;Vehicle Carrier;robbers boarded the ship at anchor. duty crew noticed them and raised alarm. robbers jumped overboard and escaped with ship's stores. attempts to call police via the agent were not successful.;0;0;57.2439389132
2010.0;21.0;1.0;;BCD;14:33.74N;120:55.24E;Tanker;Isle of Man;Anchored;Boarded;-1;-1;;1;0;0;0;0;0;unnoticed robbers boarded an anchored tanker and stole a liferaft and ship's property and escaped. port authorities informed.;14.5705555556;120.923333333;2.0;Tanker;unnoticed robbers boarded an anchored tanker and stole a liferaft and ship's property and escaped. port authorities informed.;0;0;5.69358078409
2010.0;29.0;1.0;;BCD;06:00.5S;105:56.5E;General Cargo;Singapore;Anchored;Boarded;1;4;;0;0;0;0;0;0;four robbers in a speed boat approached an anchored ship from the port quarter. one robber boarded by using a hook attached to a rope. he was spotted by the deck watchman. alarm raised and the robber escaped via the same rope.  local authorities informed.;-6.00138888889;105.934722222;2.0;Vehicle Carrier;four robbers in a speed boat approached an anchored ship from the port quarter. one robber boarded by using a hook attached to a rope. he was spotted by the deck watchman. alarm raised and the robber escaped via the same rope.  local authorities informed.;0;0;2.39069083337
2010.0;6.0;2.0;;BCD;03:12.10N;104:01.45E;Tug;Singapore;Steaming;Hijacked;-1;-1;;0;0;0;0;0;0;a tug towing an empty barge with 12 crewmembers, enroute from singapore to cambodia was hijacked. the barge was recovered off tioman island on 17.02.2010. the same day authorities rescued the 11 crew members from a liferaft off layang layang island, sabah, malaysia. on 25 feb 10 the tug was located in philippines with missing engineer onboard. authorities detained the pirates for investigation.;3.20277777778;104.029166667;3.0;Tug;a tug towing an empty barge with 12 crewmembers, enroute from singapore to cambodia was hijacked. the barge was recovered off tioman island on 17.02.2010. the same day authorities rescued the 11 crew members from a liferaft off layang layang island, sabah, malaysia. on 25 feb 10 the tug was located in philippines with missing engineer onboard. authorities detained the pirates for investigation.;0;0;109.911939977
2010.0;6.0;2.0;;BCD;03:12.10N;104:01.45E;Barge;Singapore;Steaming;Hijacked;-1;-1;;0;0;0;0;0;0;a tug towing an empty barge with 12 crewmembers, enroute from singapore to cambodia was hijacked. the barge was recovered off tioman island on 17.02.2010. the same day authorities rescued the 11 crew members from a liferaft off layang layang island, sabah, malaysia. on 25 feb 10 the tug was located in philippines with missing engineer onboard. authorities detained the pirates for investigation.;3.20277777778;104.029166667;3.0;Other;a tug towing an empty barge with 12 crewmembers, enroute from singapore to cambodia was hijacked. the barge was recovered off tioman island on 17.02.2010. the same day authorities rescued the 11 crew members from a liferaft off layang layang island, sabah, malaysia. on 25 feb 10 the tug was located in philippines with missing engineer onboard. authorities detained the pirates for investigation.;0;0;109.911939977
2010.0;13.0;2.0;;BCD;01:18.4N;104:12.48E;Container;Liberia;Anchored;Boarded;5;5;;0;0;0;0;0;0;duty oiler onboard the ship reported to duty officer that there were five robbers in the engine room. alarm raised and crew mustered. robbers escaped without stealing anything.;1.30111111111;104.213333333;3.0;Other;duty oiler onboard the ship reported to duty officer that there were five robbers in the engine room. alarm raised and crew mustered. robbers escaped without stealing anything.;0;0;28.0128164651
2010.0;11.0;3.0;;BCD;01:17.8N;104:10.7E;Chemical Tanker;Marshall Islands;Anchored;Boarded;-1;-1;;1;0;0;0;1;0;robbers armed with knives boarded the tanker at anchor. they entered into the engine room and threatened the duty watch keeper with knives, tied him up, stole ship's equipment and escaped. only during the next duty watch handover was the incident realized and the duty watch man released.;1.28555555556;104.168611111;5.0;Tanker;robbers armed with knives boarded the tanker at anchor. they entered into the engine room and threatened the duty watch keeper with knives, tied him up, stole ship's equipment and escaped. only during the next duty watch handover was the incident realized and the duty watch man released.;0;0;22.9120424396
2010.0;20.0;3.0;;BCD;01:18.9N;104:14.6E;Tanker;Malta;Anchored;Boarded;5;5;;0;0;0;0;1;0;five robbers armed with knives boarded the tanker at anchor.  duty crew noticed the robbers trying to gain access into the engine room. oow informed and alarm raised. crew mustered and made a search throughout the ship. no robbers sighted and nothing stolen. master informed johor pfso and singapore fusion centre. later, malaysian coast guard boarded the ship for investigation.;1.3025;104.235;6.0;Tanker;five robbers armed with knives boarded the tanker at anchor.  duty crew noticed the robbers trying to gain access into the engine room. oow informed and alarm raised. crew mustered and made a search throughout the ship. no robbers sighted and nothing stolen. master informed johor pfso and singapore fusion centre. later, malaysian coast guard boarded the ship for investigation.;0;0;30.1600163101
2010.0;10.0;4.0;;BCD;01:28.6S;116:48.9E;Tanker;Liberia;Anchored;Boarded;-1;-1;;1;0;0;0;0;0;robbers boarded the tanker by breaking open the hawse pipe cover. they entered the forecastle and stole ship's property by breaking the lock on the booby hatch and escaped.;-1.46833333333;116.8025;7.0;Tanker;robbers boarded the tanker by breaking open the hawse pipe cover. they entered the forecastle and stole ship's property by breaking the lock on the booby hatch and escaped.;0;0;29.7474997958
2010.0;16.0;4.0;;BCD;01:18.42N;104:12.7E;Product Tanker;Malaysia;Anchored;Boarded;6;6;;0;0;0;0;0;0;six robbers boarded an anchored tanker via the poop deck. oow spotted them and raised the alarm. crew mustered. robbers escaped in their boat. an investigation was conducted and no robbers were found. nothing was stolen.;1.31166666667;104.201944444;8.0;Tanker;six robbers boarded an anchored tanker via the poop deck. oow spotted them and raised the alarm. crew mustered. robbers escaped in their boat. an investigation was conducted and no robbers were found. nothing was stolen.;0;0;27.3567165851
2010.0;17.0;4.0;;BCD;02:32.57N;104:45.09E;Tug;Singapore;Steaming;Boarded;10;10;;1;0;0;0;1;0;about ten pirates armed with long knives boarded the tug underway. they stole tug's properties, crew personal belongings and escaped.;2.54916666667;104.7525;8.0;Tug;about ten pirates armed with long knives boarded the tug underway. they stole tug's properties, crew personal belongings and escaped.;0;0;154.165666022
2010.0;20.0;4.0;;BCD;06:02.4S;106:54.1E;General Cargo;Panama;Anchored;Boarded;1;4;;1;0;0;0;1;0;four robbers armed with long knives boarded an anchored ship. duty a/b returning after rounds to the forecastle deck saw one robber coming out from port side entrance and immediately informed oow and raised the alarm. robbers escaped with ship's equipment.;-6.03444444444;106.900277778;8.0;Vehicle Carrier;four robbers armed with long knives boarded an anchored ship. duty a/b returning after rounds to the forecastle deck saw one robber coming out from port side entrance and immediately informed oow and raised the alarm. robbers escaped with ship's equipment.;0;0;7.24963654056
2010.0;24.0;4.0;;BCD;01:18.5N;104:13.9E;LPG Tanker;Singapore;Anchored;Boarded;6;6;;0;0;0;0;1;0;six robbers armed with knives boarded the tanker at anchor. they entered into the engine room and tied up duty fitter.  fitter managed to free himself and informed duty officer on bridge.  alarm raised and crew alerted.  after a search it was discovered steering gear room door was broke open.  nothing was stolen.  robbers escaped.;1.30138888889;104.219166667;8.0;Tanker;six robbers armed with knives boarded the tanker at anchor. they entered into the engine room and tied up duty fitter.  fitter managed to free himself and informed duty officer on bridge.  alarm raised and crew alerted.  after a search it was discovered steering gear room door was broke open.  nothing was stolen.  robbers escaped.;0;0;28.581141477
2010.0;27.0;4.0;;BCD;01:12.23N;104:45.55E;Tug;Malaysia;Steaming;Hijacked;7;7;;0;0;0;0;1;0;seven pirates armed with guns and knives in a fishing boat boarded the tug towing a barge. they robbed the nine crewmembers of their personal belongings and abandoned the crew in a life raft and hijacked the vessels. on 03.05.2010, a vietnamese naval vessel rescued the nine crewmembers and finally the crews were sent to shore. on 19.05.2010, the philippines coast guard saw two vessels matching the description of the tug and barge entering sarangani bay, philippines. later, the coast guard boarded, inspected and finally detained the vessels. the coast guard arrested the pirates, who had cut away the embossed names of the tug and barge using gas torches. the tug had been renamed to •À_marlyn 8•À_.;1.20638888889;104.765277778;8.0;Tug;seven pirates armed with guns and knives in a fishing boat boarded the tug towing a barge. they robbed the nine crewmembers of their personal belongings and abandoned the crew in a life raft and hijacked the vessels. on 03.05.2010, a vietnamese naval vessel rescued the nine crewmembers and finally the crews were sent to shore. on 19.05.2010, the philippines coast guard saw two vessels matching the description of the tug and barge entering sarangani bay, philippines. later, the coast guard boarded, inspected and finally detained the vessels. the coast guard arrested the pirates, who had cut away the embossed names of the tug and barge using gas torches. the tug had been renamed to •À_marlyn 8•À_.;1;0;85.2853645249
2010.0;27.0;4.0;;BCD;01:12.23N;104:45.55E;Barge;Malaysia;Steaming;Hijacked;7;7;;0;0;0;0;1;0;seven pirates armed with guns and knives in a fishing boat boarded the tug towing a barge. they robbed the nine crewmembers of their personal belongings and abandoned the crew in a life raft and hijacked the vessels. on 03.05.2010, a vietnamese naval vessel rescued the nine crewmembers and finally the crews were sent to shore. on 19.05.2010, the philippines coast guard saw two vessels matching the description of the tug and barge entering sarangani bay, philippines. later, the coast guard boarded, inspected and finally detained the vessels. the coast guard arrested the pirates, who had cut away the embossed names of the tug and barge using gas torches. the tug had been renamed to •À_marlyn 8•À_.;1.20638888889;104.765277778;8.0;Other;seven pirates armed with guns and knives in a fishing boat boarded the tug towing a barge. they robbed the nine crewmembers of their personal belongings and abandoned the crew in a life raft and hijacked the vessels. on 03.05.2010, a vietnamese naval vessel rescued the nine crewmembers and finally the crews were sent to shore. on 19.05.2010, the philippines coast guard saw two vessels matching the description of the tug and barge entering sarangani bay, philippines. later, the coast guard boarded, inspected and finally detained the vessels. the coast guard arrested the pirates, who had cut away the embossed names of the tug and barge using gas torches. the tug had been renamed to •À_marlyn 8•À_.;1;0;85.2853645249
2010.0;2.0;5.0;;BCD;06:01.1S;105:55.3E;Chemical Tanker;Singapore;Anchored;Boarded;6;6;;1;1;0;0;1;0;six robbers in a boat armed with knives boarded the tanker at anchor via the aft mooring station using a rope attached to a hook. they took hostage the duty watch keeper and forced him to lead them into the engine room. the robbers stole engine spares and escaped after 15 minutes.;-6.01694444444;105.9175;9.0;Tanker;six robbers in a boat armed with knives boarded the tanker at anchor via the aft mooring station using a rope attached to a hook. they took hostage the duty watch keeper and forced him to lead them into the engine room. the robbers stole engine spares and escaped after 15 minutes.;0;0;2.52138247859
2010.0;15.0;5.0;;BCD;01:15.4N;104:10.9E;Tug;Singapore;Steaming;Boarded;-1;-1;;1;0;0;0;0;0;pirates in a small boat approached the tug towing a barge. master raised alarm, sounded vessel's horn and crew directed searchlights towards the boat. pirates boarded the barge, stole some towing equipment and escaped. mpa singapore and coast guard informed.;1.25111111111;104.169166667;10.0;Tug;pirates in a small boat approached the tug towing a barge. master raised alarm, sounded vessel's horn and crew directed searchlights towards the boat. pirates boarded the barge, stole some towing equipment and escaped. mpa singapore and coast guard informed.;0;0;21.0156566191
2010.0;15.0;5.0;;BCD;01:15.4N;104:10.9E;Barge;USA;Steaming;Boarded;-1;-1;;1;0;0;0;0;0;pirates in a small boat approached the tug towing a barge. master raised alarm, sounded vessel's horn and crew directed searchlights towards the boat. pirates boarded the barge, stole some towing equipment and escaped. mpa singapore and coast guard informed.;1.25111111111;104.169166667;10.0;Other;pirates in a small boat approached the tug towing a barge. master raised alarm, sounded vessel's horn and crew directed searchlights towards the boat. pirates boarded the barge, stole some towing equipment and escaped. mpa singapore and coast guard informed.;0;0;21.0156566191
2010.0;18.0;5.0;;BCD;03:43S;114:28E;Bulk Carrier;Panama;Anchored;Boarded;5;5;;0;0;0;0;0;0;five robbers on a boat boarded the ship at anchor. master immediately reported to the local authorities via vhf and mustered all crew on bridge. local authorities arrived and detained the robbers.;-3.71666666667;114.466666667;10.0;Vehicle Carrier;five robbers on a boat boarded the ship at anchor. master immediately reported to the local authorities via vhf and mustered all crew on bridge. local authorities arrived and detained the robbers.;0;0;45.1901432369
2010.0;4.0;6.0;;BCD;12:17.3N;100:45.7E;General Cargo;United Kingdom;Steaming;Boarded;2;2;;0;0;0;0;0;0;robbers in a speed boat boarded the ship underway.  alarm raised, crew mustered, fire hoses activated. crew found one boat tied up to the aft bollard. the rope was immediately cut and the boat drifted away. two robbers were found and detained by the crew. later another boat hooked itself onto a pad eye on the hull. the detained robbers were allowed to climb down into the boat and leave the ship.;12.2841666667;100.751944444;11.0;Vehicle Carrier;robbers in a speed boat boarded the ship underway.  alarm raised, crew mustered, fire hoses activated. crew found one boat tied up to the aft bollard. the rope was immediately cut and the boat drifted away. two robbers were found and detained by the crew. later another boat hooked itself onto a pad eye on the hull. the detained robbers were allowed to climb down into the boat and leave the ship.;0;1;42.5761103463
2010.0;28.0;6.0;;BCD;01:06N;103:44E;Tug;Singapore;Steaming;Boarded;-1;-1;;0;0;0;0;0;0;five persons in a rubber boat armed with long guns approached the tug towing a barge underway. they signalled the vessel to stop but the master ignored them. three persons boarded the vessel from the stbd side and came to the bridge while the other two remained in their boat. they demanded two containers of fuel oil from the master and escaped.;1.1;103.733333333;12.0;Tug;five persons in a rubber boat armed with long guns approached the tug towing a barge underway. they signalled the vessel to stop but the master ignored them. three persons boarded the vessel from the stbd side and came to the bridge while the other two remained in their boat. they demanded two containers of fuel oil from the master and escaped.;1;1;16.5862115037
2010.0;28.0;6.0;;BCD;01:06N;103:44E;Barge;Vanuatu;Steaming;Boarded;-1;-1;;0;0;0;0;0;0;five persons in a rubber boat armed with long guns approached the tug towing a barge underway. they signalled the vessel to stop but the master ignored them. three persons boarded the vessel from the stbd side and came to the bridge while the other two remained in their boat. they demanded two containers of fuel oil from the master and escaped.;1.1;103.733333333;12.0;Other;five persons in a rubber boat armed with long guns approached the tug towing a barge underway. they signalled the vessel to stop but the master ignored them. three persons boarded the vessel from the stbd side and came to the bridge while the other two remained in their boat. they demanded two containers of fuel oil from the master and escaped.;1;1;16.5862115037
2010.0;7.0;7.0;;BCD;01:19.5N;104:15.6E;Tanker;Marshall Islands;Anchored;Boarded;-1;-1;;1;0;0;0;0;0;crew members on deck patrol noticed a small motor boat moving away from the tanker's stern. duty officer on bridge was immediately informed. upon checking the fire station door was found open and ship's equipment stolen.;1.31805555556;104.251666667;13.0;Tanker;crew members on deck patrol noticed a small motor boat moving away from the tanker's stern. duty officer on bridge was immediately informed. upon checking the fire station door was found open and ship's equipment stolen.;0;1;32.5282592523
2010.0;13.0;7.0;;BCD;01:59N;109:00E;General Cargo;Malaysia;Steaming;Boarded;8;8;;1;1;0;0;1;0;eight pirates in a speed boat armed with pistols and long knives boarded the ship underway. they entered the bridge, took hostage and tied up the 2/o and the duty a/b. the 2/o was taken to the master's cabin and forced to call the master. when the master opened the door, the pirates entered his cabin and threatened him with long knives and demanded petty cash. the pirates tied up the master, stole his personal belongings, ship's cash and properties and escaped.;1.98333333333;109.0;13.0;Vehicle Carrier;eight pirates in a speed boat armed with pistols and long knives boarded the ship underway. they entered the bridge, took hostage and tied up the 2/o and the duty a/b. the 2/o was taken to the master's cabin and forced to call the master. when the master opened the door, the pirates entered his cabin and threatened him with long knives and demanded petty cash. the pirates tied up the master, stole his personal belongings, ship's cash and properties and escaped.;1;1;220.60545774
2010.0;18.0;7.0;;BCD;03:55N;098:46E;Container;Marshall Islands;Anchored;Boarded;-1;-1;;1;0;0;0;0;0;unnoticed robbers boarded the ship at anchor. they broke into the paint locker and stole ship's stores and escaped. the theft was discovered in the morning.;3.91666666667;98.7666666667;14.0;Other;unnoticed robbers boarded the ship at anchor. they broke into the paint locker and stole ship's stores and escaped. the theft was discovered in the morning.;0;1;18.4593604881
2010.0;22.0;7.0;;BCD;01:23.51N;104:30.98E;Bulk Carrier;Cyprus;Anchored;Boarded;5;5;;0;1;0;0;1;0;five pirates armed with guns and knives boarded the ship at anchor. they took hostage duty oiler in the engine room. alarm was raised.  pirates escaped in their speed boat and proceeded towards indonesian coast. no injury to crew and nothing stolen.;1.3975;104.527222222;14.0;Vehicle Carrier;five pirates armed with guns and knives boarded the ship at anchor. they took hostage duty oiler in the engine room. alarm was raised.  pirates escaped in their speed boat and proceeded towards indonesian coast. no injury to crew and nothing stolen.;1;1;62.4021731817
2010.0;31.0;7.0;;BCD;13:44.3N;121:01.7E;Tanker;Isle of Man;Anchored;Boarded;1;3;;1;0;0;0;0;0;three robbers in a small craft approached the tanker at anchor. one robber boarded the tanker and broke into the bosun store. alert crew spotted the robber, raised the alarm andthe robber escaped by jumping overboard. a second robber that was climbing the anchor chain also escaped. ship's property stolen. coast guard informed.;13.7341666667;121.018611111;14.0;Tanker;three robbers in a small craft approached the tanker at anchor. one robber boarded the tanker and broke into the bosun store. alert crew spotted the robber, raised the alarm andthe robber escaped by jumping overboard. a second robber that was climbing the anchor chain also escaped. ship's property stolen. coast guard informed.;0;1;29.7385527214
2010.0;10.0;8.0;;BCD;01:19.4N;104:14.7E;Tanker;Marshall Islands;Anchored;Boarded;5;5;;1;0;0;0;1;0;five robbers armed with pistols and knives boarded and entered the engine room of an anchored tanker. they tied up the duty motorman and stole some spares. watch engineer found the motorman, untied him and informed the bridge who raised the alarm. port control informed. malaysia coast guard boarded the tanker for investigation.;1.31777777778;104.235277778;15.0;Tanker;five robbers armed with pistols and knives boarded and entered the engine room of an anchored tanker. they tied up the duty motorman and stole some spares. watch engineer found the motorman, untied him and informed the bridge who raised the alarm. port control informed. malaysia coast guard boarded the tanker for investigation.;1;1;30.7597205902
2010.0;12.0;8.0;;BCD;01:42.82N;101:27.56E;General Cargo;Cyprus;Anchored;Boarded;2;2;;0;0;0;0;1;0;two robbers armed with knives boarded the ship at anchor.  robbers threatened the duty watchmen with knives.  duty officer noticed and raised alarm and contacted port authorities. robbers escaped empty handed.;1.72277777778;101.465555556;15.0;Vehicle Carrier;two robbers armed with knives boarded the ship at anchor.  robbers threatened the duty watchmen with knives.  duty officer noticed and raised alarm and contacted port authorities. robbers escaped empty handed.;0;1;3.6484796367
2010.0;12.0;8.0;;BCD;14:33.1N;120:55.3E;Container;Liberia;Anchored;Boarded;-1;-1;;1;0;0;0;0;0;robbers in a small boat boarded the ship at anchor. they stole the forward life raft and escaped. alarm raised, crew mustered and informed coast guard. the coast guard came and searched the area but unable to locate the robbers.;14.5502777778;120.9175;15.0;Other;robbers in a small boat boarded the ship at anchor. they stole the forward life raft and escaped. alarm raised, crew mustered and informed coast guard. the coast guard came and searched the area but unable to locate the robbers.;0;1;7.6378882333
2010.0;31.0;8.0;;BCD;03:13S;116:23E;Bulk Carrier;Liberia;Anchored;Boarded;-1;-1;;1;0;0;0;0;0;while at anchor, alarm for forecastle watertight door was activated indicating that it had been opened.  investigation carried out revealed forecastle store door was broke open and ship's stores and properties stolen. the whole incident was unnoticed.;-3.21666666667;116.383333333;16.0;Vehicle Carrier;while at anchor, alarm for forecastle watertight door was activated indicating that it had been opened.  investigation carried out revealed forecastle store door was broke open and ship's stores and properties stolen. the whole incident was unnoticed.;0;1;11.1145276082
