Harbor;Latitude;Longitude
durres;N 41 19;E 019 27
cabinda;S 05 33;E 012 12
lobito;S 12 21;E 013 34
luanda;S 08 47;E 013 16
malongo;S 05 24;E 012 12
soyo;S 06 07;E 012 20
falmouthant;N 17 01;W 061 46
stjohns;N 17 07;W 061 51
arroyoseco;S 33 07;W 060 30
bahiablanca;S 38 50;W 062 12
buenosaires;S 34 37;W 058 22
campana;S 34 09;W 058 57
escobar;S 34 15;W 058 46
Buitrango;S 33 27;W 060 03
laplata;S 34 51;W 057 53
puertodeseado;S 47 45;W 065 54
ramallo;S 33 29;W 059 60
rosario;S 33 00;W 060 36
sanlorenzo;S 32 42;W 060 44
sannicolasdelosa;S 33 21;W 060 11
villaconstitucion%20;S 33 14;W 060 18
zarate;S 34 05;W 059 01
barcadera;N 12 29;W 069 59
oranjestad;N 12 31;W 070 03
sannicolasaruba;N 12 26;W 069 55
adelaide;S 34 48;E 138 30
albanyau;S 35 02;E 117 54
barrowisland;S 20 45;E 115 29
beautypoint;S 41 09;E 146 49
bellbay;S 41 09;E 146 53
brisbane;S 27 22;E 153 10
broome;S 18 00;E 122 13
bunbury;S 33 19;E 115 39
burnie;S 41 03;E 145 55
cairns;S 16 56;E 145 47
cowesaus;S 38 27;E 145 14
cribpoint;S 38 22;E 145 13
dampier;S 20 38;E 116 44
darwin;S 12 31;E 130 52
eden;S 37 06;E 149 56
esperance;S 33 52;E 121 54
exmouth;S 21 57;E 114 08
fremantle;S 32 03;E 115 45
geelong;S 38 07;E 144 28
geraldton;S 28 46;E 114 36
gladstone;S 23 48;E 151 14
haypoint;S 21 16;E 149 18
hobart;S 42 53;E 147 20
karumba;S 17 29;E 140 50
mackayseaport;S 21 07;E 149 14
melbourne;S 37 50;E 144 56
mourilyan;S 17 36;E 146 07
newcastle;S 32 54;E 151 46
onslow;S 21 38;E 115 07
penneshaw;S 35 43;E 137 57
pinkenba;S 27 26;E 153 08
pointsamson;S 20 37;E 117 09
porthedland;S 20 19;E 118 35
portkembla;S 34 28;E 150 54
portpirie;S 33 10;E 138 01
rockingham;S 32 12;E 115 46
sydney;S 33 55;E 151 11
thursday%20island;S 10 35;E 142 14
townsville;S 19 15;E 146 50
wallaroo;S 33 56;E 137 37
weipa;S 12 40;E 141 52
whyalla;S 33 02;E 137 36
baku;N 40 22;E 049 54
