zone;min_lat;max_lat;min_lon;max_lon
A;14.842;16.049;41.22;42.47
B;13.928;14.835;41.83;43.06
C;13.081;13.930;42.26;43.29
D;12.531;13.081;43.08;43.50
E;11.737;12.531;43.50;44.47
F;11.737;12.931;44.47;45.77
G;11.737;13.386;45.76;46.84
H;11.737;13.797;46.84;47.84
I;12.340;14.588;47.84;49.36
J;12.340;14.588;49.36;50.58
K;12.340;15.819;50.58;52.27
L;12.340;16.91;52.27;56.13
M;10.450;12.340;47.84;55.01
N;22.5;26.5;56.13;59.3375
O;22.5;26.5;59.3375;62.5475
P;22.5;26.5;62.5475;65.7575
Q;22.5;26.5;65.7575;69
R;18.5;22.5;56.13;59.3375
S;18.5;22.5;59.3375;62.5475
T;18.5;22.5;62.5475;65.7575
U;18.5;22.5;65.7575;69
V;14.5;18.5;56.13;59.3375
W;14.5;18.5;59.3375;62.5475
X;14.5;18.5;62.5475;65.7575
Y;14.5;18.5;65.7575;69
Z;10.45;14.5;56.13;59.3375
AA;10.45;14.5;59.3375;62.5475
AB;10.45;14.5;62.5475;65.7575
AC;10.45;14.5;65.7575;69
AD;5;10.5;39;49
AE;5;10.5;49;59
AF;5;10.5;59;69
AG;5;10.5;69;79
AH;0;5;39;49
AI;0;5;49;59
AJ;0;5;59;69
AK;0;5;69;79
AL;-5;0;39;49
AM;-5;0;49;59
AN;-5;0;59;69
AO;-5;0;69;79
AP;-10;-5;39;49
AQ;-10;-5;49;59
AR;-10;-5;59;69
AS;-10;-5;69;79
