Harbor;Latitude;Longitude;Latitude2;Longitude2
durres;N 41 19;E 019 27;41.3166666667;19.45
cabinda;S 05 33;E 012 12;-5.55;12.2
lobito;S 12 21;E 013 34;-12.35;13.5666666667
luanda;S 08 47;E 013 16;-8.78333333333;13.2666666667
malongo;S 05 24;E 012 12;-5.4;12.2
soyo;S 06 07;E 012 20;-6.11666666667;12.3333333333
falmouthant;N 17 01;W 061 46;17.0166666667;-61.7666666667
stjohns;N 17 07;W 061 51;17.1166666667;-61.85
arroyoseco;S 33 07;W 060 30;-33.1166666667;-60.5
bahiablanca;S 38 50;W 062 12;-38.8333333333;-62.2
buenosaires;S 34 37;W 058 22;-34.6166666667;-58.3666666667
campana;S 34 09;W 058 57;-34.15;-58.95
escobar;S 34 15;W 058 46;-34.25;-58.7666666667
Buitrango;S 33 27;W 060 03;-33.45;-60.05
laplata;S 34 51;W 057 53;-34.85;-57.8833333333
puertodeseado;S 47 45;W 065 54;-47.75;-65.9
ramallo;S 33 29;W 059 60;-33.4833333333;-60.0
rosario;S 33 00;W 060 36;-33.0;-60.6
sanlorenzo;S 32 42;W 060 44;-32.7;-60.7333333333
sannicolasdelosa;S 33 21;W 060 11;-33.35;-60.1833333333
villaconstitucion%20;S 33 14;W 060 18;-33.2333333333;-60.3
zarate;S 34 05;W 059 01;-34.0833333333;-59.0166666667
barcadera;N 12 29;W 069 59;12.4833333333;-69.9833333333
oranjestad;N 12 31;W 070 03;12.5166666667;-70.05
sannicolasaruba;N 12 26;W 069 55;12.4333333333;-69.9166666667
adelaide;S 34 48;E 138 30;-34.8;138.5
albanyau;S 35 02;E 117 54;-35.0333333333;117.9
barrowisland;S 20 45;E 115 29;-20.75;115.483333333
beautypoint;S 41 09;E 146 49;-41.15;146.816666667
bellbay;S 41 09;E 146 53;-41.15;146.883333333
brisbane;S 27 22;E 153 10;-27.3666666667;153.166666667
broome;S 18 00;E 122 13;-18.0;122.216666667
bunbury;S 33 19;E 115 39;-33.3166666667;115.65
burnie;S 41 03;E 145 55;-41.05;145.916666667
cairns;S 16 56;E 145 47;-16.9333333333;145.783333333
cowesaus;S 38 27;E 145 14;-38.45;145.233333333
cribpoint;S 38 22;E 145 13;-38.3666666667;145.216666667
dampier;S 20 38;E 116 44;-20.6333333333;116.733333333
darwin;S 12 31;E 130 52;-12.5166666667;130.866666667
eden;S 37 06;E 149 56;-37.1;149.933333333
esperance;S 33 52;E 121 54;-33.8666666667;121.9
exmouth;S 21 57;E 114 08;-21.95;114.133333333
fremantle;S 32 03;E 115 45;-32.05;115.75
