"";"longitude";"latitude";"id"
"358";53,9743183;26,497247;25208
"368";53,9697719;26,4984432;25208
"378";53,9669274;26,4991375;25208
"388";53,9644766;26,4990889;25208
"398";53,9611029;26,5011279;25208
"408";53,9590629;26,5006933;25208
"418";53,9576768;26,5004636;25208
"428";53,9555521;26,5022289;25208
"438";53,9538581;26,5021194;25208
"448";53,9516677;26,5041314;25208
"458";53,9487344;26,5045663;25208
"468";53,9452174;26,5069436;25208
"478";53,9424406;26,5080558;25208
"488";53,9411002;26,5075364;25208
"498";53,9389317;26,5069001;25208
"508";53,9366151;26,5071016;25208
"518";53,9358063;26,5073628;25208
"528";53,9338323;26,5081615;25208
"538";53,932684;26,5089917;25208
"548";53,931261;26,5102067;25208
"558";53,9302489;26,5115207;25208
"568";53,928319;26,5134692;25208
"578";53,9268984;26,5132862;25208
"588";53,9264896;26,5137899;25208
"598";53,925672;26,5142856;25208
"608";53,9232932;26,5154678;25208
"618";53,9216715;26,5168409;25208
"628";53,9198502;26,5169329;25208
"638";53,9175564;26,5175637;25208
"648";53,9171688;26,5183268;25208
"658";53,9152189;26,5197734;25208
"668";53,9141104;26,520079;25208
"678";53,912743;26,5211145;25208
"688";53,911685;26,5220256;25208
"698";53,9107222;26,5240508;25208
"708";53,9099324;26,5249605;25208
"718";53,908769;26,5282867;25208
"728";53,9078692;26,5304318;25208
"738";53,9068239;26,532154;25208
"748";53,9065517;26,5329838;25208
"758";53,905946;26,534151;25208
"768";53,9053179;26,5349427;25208
"778";53,9046678;26,5358951;25208
"788";53,9035324;26,5368338;25208
"798";53,9021699;26,5377628;25208
"808";53,9016409;26,5386088;25208
"818";53,900613;26,5401107;25208
"828";53,9001794;26,5414853;25208
"838";53,8994388;26,543328;25208
"848";53,8981601;26,545859;25208
"858";53,8980538;26,5479955;25208
"868";53,8997103;26,5481995;25208
"878";53,9009681;26,5480512;25208
"888";53,9018604;26,5473733;25208
"898";53,9016151;26,5471125;25208
"908";53,903738;26,5474696;25208
"918";53,9050652;26,5484351;25208
"928";53,905858;26,5488648;25208
"938";53,9087246;26,5508549;25208
"948";53,9112743;26,5544807;25208
"958";53,9142351;26,5578731;25208
"968";53,9169951;26,5602851;25208
"978";53,9206288;26,5637426;25208
"988";53,9234167;26,5648656;25208
"998";53,9270072;26,567415;25208
"1008";53,9337645;26,5701652;25208
"1018";53,9398562;26,5709956;25208
"1028";53,9430205;26,5764014;25208
"1038";53,9466848;26,577536;25208
"1048";53,9430996;26,576058;25208
"1058";53,9459258;26,5766171;25208
"1068";53,95523;26,5742782;25208
"1078";53,9581226;26,574119;25208
"1088";53,9606067;26,5727933;25208
"1098";53,9639681;26,5717194;25208
"1108";53,9676727;26,5696739;25208
"1118";53,9733958;26,5694983;25208
